Species,AboveGround,Condition,Treatment
Maize,70.11,Full,Control
Maize,64.45,Full,Control
Maize,76.48,Full,Control
Maize,67,Full,Control
Maize,68.02,Full,Control
Maize,69.23,Full,Control
Maize,69.98,Full,Control
Maize,59.73,Full,Control
Maize,58.1,Full,Control
Maize,53.2,Full,Control
Maize,65.65,Full,ValA
Maize,77.82,Full,ValA
Maize,71.18,Full,ValA
Maize,105.09,Full,ValA
Maize,92.32,Full,ValA
Maize,88.6,Full,ValA
Maize,90.48,Full,ValA
Maize,74.4,Full,ValA
Maize,126.35,Full,ValA
Maize,81.54,Full,ValA
